url,title,content
https://assistance.free.fr/articles/telephonie-fixe-restreindre-la-presentation-de-mon-numero-560,Téléphonie fixe : restreindre la présentation de mon numéro,"Cette option vous permet de  dissimuler votre numéro  (masquer) à vos correspondants de manière permanente ou non.  Décrochez votre combiné Freebox puis :  Activer le secret d'appel permanent :  *31# Désactiver le secret d'appel permanent :  #31# Connaître le statut du service :  *#31# Activer le mode secret pour le prochain appel :  *31*  <  numéro  > Désactiver le mode secret pour le prochain appel :  #31*  <  numéro  > Sur certains modèles de téléphone, il faudra appuyer sur la touche  appel  après avoir saisi la combinaison de touches.  Ce service est également paramétrable depuis votre  Espace Abonné , rubrique  Téléphonie ,  Gestion de mes services téléphonie  puis option  Restriction de présentation d'identité . Après modification, veillez à cliquer sur le bouton  Enregistrer les modifications ."
https://assistance.free.fr/articles/telephone-fixe-tonalite-inhabituelle-au-decrochage-580,Téléphone fixe : tonalité inhabituelle au décrochage,"Lorsqu'un message vocal est en attente sur votre  répondeur Freebox , vous êtes alerté par un signal sonore ajouté à la tonalité de décrochage.  Vérifiez donc qu'aucun nouveau message ne se trouve sur votre boîte vocale."
https://assistance.free.fr/articles/cout-du-passage-de-mon-abonnement-freebox-de-ladsl-vers-la-fibre-27,Coût du passage de mon abonnement Freebox de l'ADSL vers la Fibre,"L’ installation de la Fibre à votre domicile  par un technicien expert est  gratuite . Dans le cas où vos équipements Freebox ne seraient pas compatibles, nous les échangeons sans frais. "
https://assistance.free.fr/articles/lenteur-de-navigation-en-ethernet-que-faire--361,Lenteur de navigation en Ethernet : que faire ?,"Étape 1 Si vous êtes en  ADSL , assurez-vous que votre  bande passante n’est pas saturée  par l’utilisation simultanée de  plusieurs flux TV  (consultation d'une chaîne, enregistrement,  Multi-TV ). Étape 2 Vérifiez également qu'aucun  programme  n'utilise la  bande passante  (sur votre ordinateur ou sur un autre connecté à votre Freebox). Ces programmes peuvent être des clients de téléchargement (torrent, downloader...), des logiciels antivirus/pare-feu mal configurés ou des virus/spywares. Étape 3 Regardez si les lenteurs sont présentes sur d’ autres équipements . Étape 4 Testez un autre  navigateur web . Étape 5 Procédez à un  redémarrage électrique de votre Freebox . Si le problème persiste, contactez nos services d’assistance."
https://assistance.free.fr/articles/disney-plus-resilier-mon-abonnement-1182,Disney+ : résilier mon abonnement,"Rendez-vous dans votre  Espace Abonné  et identifiez-vous à l'aide de vos identifiants Freebox. À la rubrique  Télévision , cliquez sur  Disney+ . Cliquez sur le bouton  Je résilie mon offre Disney+  et laissez-vous guider. Si vous disposez d'un abonnement à Disney+ souscrit directement depuis leur site, vous devrez vous y rendre pour résilier votre accès."
https://assistance.free.fr/articles/partage-de-connexion-1054,Partage de connexion,"En cas de besoin, vous avez la possibilité de partager la connexion Internet mobile de votre smartphone afin de donner  accès à Internet à vos autres périphériques . Pour mettre en place un partage de connexion : Si vous avez acheté votre téléphone chez Free, rendez-vous dans la rubrique  Mon Mobile  puis  Prise en main . Tapez «  Partage de connexion  » dans le champ de recherche. Sinon, rendez-vous dans  Diagnostic mobile  et recherchez votre téléphone. Parmi les choix proposés ensuite, sélectionnez  Partage de connexion . Le partage de connexion est particulièrement utile en déplacement ou lors d'une panne Freebox. Attention, le partage de connexion consomme l'enveloppe Internet mobile de votre forfait."
https://assistance.free.fr/articles/services-payants-en-boutiques-save-store-966,Services payants en boutiques Save Store,"Les boutiques  Save Store  proposent également les services payants suivants : Transfert de données Sauvegarde  Lors de la réparation et de la mise à jour, les données du téléphone sont effacées. PSM propose un service de sauvegarde de données permettant de récupérer le mobile avec ses données après la réparation : Sauvegarde des contacts ; Sauvegarde de toutes les données ; Sauvegarde des données sur clé USB PSM ; Récupération des données sur Smartphone""muet"" ; Redémarrage d'un iPhone suite code verrou oublié. Paramétrage d'un smartphone Stérilisation Avant de confier votre Mobile en SAV, prenez connaissance de  nos recommandations ."
https://assistance.free.fr/articles/netflix-quest-ce-que-cest--259,Netflix : qu'est-ce que c'est ?,"Netflix est une plateforme disponible en  option , proposant des films et séries télévisées à la demande, accessibles depuis votre  Freebox  mais également depuis un  ordinateur  ou une  tablette/smartphone  (via  l'application  Netflix).  En savoir plus sur notre  site commercial  ou directement sur le site de  Netflix . "
https://assistance.free.fr/articles/videos-a-la-demande-vod-quest-ce-que-cest--100,Vidéos à la demande (VOD) : qu'est-ce que c'est ?,"Grâce à votre Freebox, vous avez la possibilité d'accéder depuis votre TV à  plusieurs catalogues de VOD  ( Video on Demand  = vidéo à la demande).  Ils vous permettent la visualisation instantanée d'une large sélection de films, séries, documentaires, etc. Certains portails VOD proposent également un abonnement mensuel.  Pour acheter une vidéo à la demande, vous devez connaître votre  code d'achat   Freebox TV.  Le montant des contenus achetés est automatiquement reporté sur la prochaine facture Freebox.  "
https://assistance.free.fr/articles/passer-de-ladsl-a-la-fibre-free-26,Passer de l'ADSL à la Fibre Free,"Vous êtes abonné Freebox en ADSL.  Si votre adresse est éligible à la Fibre Free, nous vous contacterons pour organiser le passage à la fibre en toute simplicité : Consulter la  carte d'éligibilité Fibre Free.  "
